lvm2 2.03.16-2
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
mariadb-libs 10.9.2-1
md4c 0.4.8-1
mdadm 4.2-2
mediainfo 22.06-2
mesa 22.1.7-1
metis 5.1.0.p10-2
micro 2.0.11-4
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mlt 7.8.0-2
mobile-broadband-provider-info 20220725-1
movit 1.6.3-2
mpc 0.34-2
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mpv 1:0.34.1-5
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mujs 1.2.0-2
mypaint-brushes1 1.3.1-1
nasm 2.15.05-1
nautilus 42.2-1
ncdu 2.1.2-1
ncmpcpp 0.9.2-7
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
neovim 0.7.2-3
nerd-fonts-hack 2.1.0-4
nerd-fonts-noto-sans-mono 2.1.0-1
netpbm 10.73.37-2
nettle 3.8.1-1
networkmanager 1.40.0-1
nicotine+ 3.2.5-1
ninja 1.11.1-1
nitrogen 1.6.1-4
nnn 4.6-1
node-gyp 9.1.0-1
nodejs 18.8.0-1
nodejs-nopt 6.0.0-1
noto-fonts 20220607-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20211101-1
npm 8.19.1-1
npth 1.6-3
nspr 4.34.1-1
nss 3.82-1
ntfs-3g 2022.5.17-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencolorio 2.1.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openscenegraph 3.6.5-14
openssh 9.0p1-1
openssl 1.1.1.q-1
opentabletdriver 0.6.0.4-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
osinfo-db 20220830-1
oxygen-icons 1:5.97.0-1
p11-kit 0.24.1-1
pacman 6.0.1-7
pacman-contrib 1.6.0-1
pacman-mirrorlist 20220828-1
pahole 1:1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.9-1
pangomm 2.46.2-1
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pciutils 3.8.0-2
pcre 8.45-2
pcre2 10.40-1
pd 0.52.2-1
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 9.1-3
pinentry 1.2.0-1
pixman 0.40.0-2
pkgconf 1.8.0-1
plugdata-git r1365.34d7b313-1
podofo 0.9.8-1
polkit 121-1
polybar 3.6.3-2
poppler 22.09.0-1
poppler-data 0.4.11-1
poppler-glib 22.09.0-1
popt 1.18-3
portaudio 1:19.7.0-1
portmidi 236-1
portsmf 234-2
postgresql 14.5-1
postgresql-libs 14.5-1
potrace 1.16-2
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pulseaudio-jack 16.1-1
pulsemixer 1.5.1-3
pyright 1.1.269-1
pystring 1.1.3.git1-1
python 3.10.6-1
python-appdirs 1.4.4-7
python-argcomplete 2.0.0-1
python-arrow 1.2.2-1
python-asttokens 2.0.8-1
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-backcall 0.2.0-6
python-beautifulsoup4 4.11.1-1
python-binaryornot 0.4.4-6
python-black 22.8.0-1
python-cachecontrol 1:0.12.11-1
python-cairo 1.21.0-1
python-certifi 2022.06.15-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-click 8.1.3-1
python-colorama 0.4.5-1
